file,bundle,offset,size
g_strosand_recolourc.mat,Tiny_6,111347973,3426
g_strosandc.mat,Tiny_6,111351399,3038
g_wavysand_recolour.mat,Tiny_6,111354437,1814
g_wavysand_recolour_colour_dxt5.dds,Art/Textures/Environment/desert/Shore_24,,
g_wavysand_recolour_colour_dxt5.dds.header,Tiny_6,111356251,1520
g_wavysand_recolour_normal_dxt5.dds,Art/Textures/Environment/desert/Shore_25,,
g_wavysand_recolour_normal_dxt5.dds.header,Tiny_6,111357771,1520
g_wetsand.mat,Tiny_6,111359291,1582
g_wetsand_colour_dxt5.dds,Art/Textures/Environment/desert/Shore_26,,
g_wetsand_colour_dxt5.dds.header,Tiny_6,111360873,1520
g_wetsand_normal_dxt5.dds,Art/Textures/Environment/desert/Shore_27,,
g_wetsand_normal_dxt5.dds.header,Tiny_6,111362393,1520
hyenadead_colour_dxt1.dds,Folders/art/textures/environment/desert/shore_1,1398424,699212
hyenadead_colour_dxt1.dds.header,Tiny_6,111379495,1520
hyenadead_normal_dxt5.dds,Art/Textures/Environment/desert/Shore_29,,
hyenadead_normal_dxt5.dds.header,Tiny_6,111381015,1520
hyenadeadc.mat,Tiny_6,111382535,5134
hyenapile_colour.dds,Folders/art/textures/environment/desert/shore_2,0,699212
hyenapile_colour.dds.header,Tiny_6,111387669,1520
hyenapile_colour_dxt1.dds,Folders/art/textures/environment/desert/shore_2,0,699212
hyenapile_colour_dxt1.dds.header,Tiny_6,111387669,1520
hyenapile_height_dxt1.dds,Folders/art/textures/environment/desert/shore_2,699212,699212
hyenapile_height_dxt1.dds.header,Tiny_6,111389189,1520
hyenapile_normal_dxt5.dds,Art/Textures/Environment/desert/Shore_31,,
hyenapile_normal_dxt5.dds.header,Tiny_6,111390709,1520
hyenapilec.mat,Tiny_6,111392229,6962
ledge_tmseabjg_colour_dxt1.dds,Folders/art/textures/environment/desert/shore_2,1398424,174924
ledge_tmseabjg_colour_dxt1.dds.header,Tiny_6,111399191,1520
