file,bundle,offset,size
vaalext_pillarschimeral02_colour_bc1.dds,Streaming/Content/data/worldareas/D0/c_g3_5.vworld,7390125,2796364
vaalext_pillarschimeral02_colour_bc1.dds.header,Tiny.VE,17917472,1520
vaalext_pillarschimeral02_normal_bc7.dds,Streaming/Content/data/worldareas/FB/c_g3_5.vworld,1106900,5592580
vaalext_pillarschimeral02_normal_bc7.dds.header,Tiny.V9,18211966,1520
vaalext_pillarschimeral02c.mat,Tiny.VE,17918992,2652
vaalext_sanctumdoorchimeral01_colour_bc1.dds,Streaming/Content/data/worldareas/60/c_g3_5.vworld,7318303,2796364
vaalext_sanctumdoorchimeral01_colour_bc1.dds.header,Tiny.V5,17575335,1520
vaalext_sanctumdoorchimeral01_normal_bc7.dds,Streaming/Content/data/worldareas/32/c_g3_5.vworld,8101811,5592580
vaalext_sanctumdoorchimeral01_normal_bc7.dds.header,Tiny.V9,18213486,1520
vaalext_sanctumdoorchimeral01c.mat,Tiny.V6,17820074,2668
vaalext_stairschimeral01_colour_bc1.dds,Streaming/Content/data/worldareas/69/c_g3_5.vworld,4911405,1398268
vaalext_stairschimeral01_colour_bc1.dds.header,Tiny.VA,18089599,840
vaalext_stairschimeral01_normal_bc7.dds,Streaming/Content/data/worldareas/3D/c_g3_5.vworld,1644171,2796388
vaalext_stairschimeral01_normal_bc7.dds.header,Tiny.VD,17830923,840
vaalext_stairschimeral01c.mat,Tiny.V7,18082811,2648
vaalext_stairtilechimeral01_colour_bc1.dds,Streaming/Content/data/worldareas/45/c_g3_5.vworld,4380061,2796364
vaalext_stairtilechimeral01_colour_bc1.dds.header,Tiny.V3,17708074,1520
vaalext_stairtilechimeral01_normal_bc7.dds,Streaming/Content/data/worldareas/D5/c_g3_5.vworld,6662007,5592580
vaalext_stairtilechimeral01_normal_bc7.dds.header,Tiny.VF,18091193,1520
vaalext_stairtilechimeral01c.mat,Tiny.VD,17831763,2660
vaalext_statuechimeral01_colour_bc1.dds,Streaming/Content/data/worldareas/9E/c_g3_5.vworld,2089223,2796364
vaalext_statuechimeral01_colour_bc1.dds.header,Tiny.VB,18036306,1520
vaalext_statuechimeral01_normal_bc7.dds,Streaming/Content/data/worldareas/F5/c_g3_5.vworld,3172692,5592580
vaalext_statuechimeral01_normal_bc7.dds.header,Tiny.VC,17975053,1520
vaalext_statuechimeral01c.mat,Tiny.VB,18037826,2646
vaalext_thickwallcornerchimeral01_colour.dds,Streaming/Content/data/worldareas/74/c_g3_5.vworld,2663235,2796364
vaalext_thickwallcornerchimeral01_colour.dds.header,Tiny.V9,18215006,1520
vaalext_thickwallcornerchimeral01_normal.dds,Streaming/Content/data/worldareas/1E/c_g3_5.vworld,8623031,5592580
vaalext_thickwallcornerchimeral01_normal.dds.header,Tiny.VD,17834423,1520
vaalext_thickwallcornerchimeral01c.mat,Tiny.V6,17822742,2666
vaalext_thickwallstatuechimeral01_colour.dds,Streaming/Content/data/worldareas/A7/c_g3_5.vworld,12606700,2796364
vaalext_thickwallstatuechimeral01_colour.dds.header,Tiny.V7,18085459,1520
vaalext_thickwallstatuechimeral01_normal.dds,Streaming/Content/data/worldareas/FC/c_g3_5.vworld,6454361,5592580
vaalext_thickwallstatuechimeral01_normal.dds.header,Tiny.V4,18443545,1520
vaalext_thickwallstatuechimeral01c.mat,Tiny.VD,17835943,2666
vaalext_thickwallstepschimeral01_colour.dds,Streaming/Content/data/worldareas/63/c_g3_5.vworld,9321640,2796364
vaalext_thickwallstepschimeral01_colour.dds.header,Tiny.V8,17943957,1520
vaalext_thickwallstepschimeral01_normal.dds,Streaming/Content/data/worldareas/c_g3_5.vworld,24655848,5592580
vaalext_thickwallstepschimeral01_normal.dds.header,Tiny.VD,17838609,1520
vaalext_thickwallstepschimeral01c.mat,Tiny.V0,18177394,2662
vaalext_thickwallstraightchimeral01_colour.dds,Streaming/Content/data/worldareas/B3/c_g3_5.vworld,1769473,2796364
vaalext_thickwallstraightchimeral01_colour.dds.header,Tiny.VE,17921644,1520
vaalext_thickwallstraightchimeral01_normal.dds,Streaming/Content/data/worldareas/06/c_g3_5.vworld,5875877,5592580
vaalext_thickwallstraightchimeral01_normal.dds.header,Tiny.V6,17825408,1520
