file,bundle,offset,size
abyssroofhalfedge_03.fmt.header,Tiny.V6,10498277,1521
abyssroofhalfedge_04.fmt,Streaming/Content/data/worldareas/8E/mapfortress.vworld,836095,188888
abyssroofhalfedge_04.fmt.header,Tiny.VC,10315132,1521
abyssroofhalfedge_05.fmt,Streaming/Content/data/worldareas/74/mapfortress.vworld,61620,187670
abyssroofhalfedge_05.fmt.header,Tiny.V1,10661188,1521
abyssroofhalfedge_06.fmt,Streaming/Content/data/worldareas/B4/mapfortress.vworld,1060505,186902
abyssroofhalfedge_06.fmt.header,Tiny.V5,10428822,1523
abyssupperroofedge_01.fmt,Streaming/Content/data/worldareas/A3/mapfortress.vworld,27021,173438
abyssupperroofedge_01.fmt.header,Tiny.V6,10499798,973
abyssupperroofedge_02.fmt,Streaming/Content/data/worldareas/8B/mapfortress.vworld,0,172814
abyssupperroofedge_02.fmt.header,Tiny.V3,10373801,765
cpanel_01.fmt,Streaming/Content/data/worldareas/F6/mapfortress.vworld,0,201262
cpanel_01.fmt.header,Tiny.V7,10669741,701
cpanel_02.fmt,Streaming/Content/data/worldareas/8F/mapfortress.vworld,0,197516
cpanel_02.fmt.header,Tiny.V0,10676238,614
cpanel_03.fmt,Streaming/Content/data/worldareas/mapfortress.vworld,8125031,251682
cpanel_03.fmt.header,Tiny.V6,10500771,1150
cpanel_05.fmt,Streaming/Content/data/worldareas/8C/mapfortress.vworld,205296,226308
cpanel_05.fmt.header,Tiny.VA,10623137,1024
cpanelset03_01.fmt,Streaming/Content/data/worldareas/24/mapfortress.vworld,33579,759112
cpanelset03_01.fmt.header,Tiny.V7,10670442,850
cpanelset03_02.fmt,Streaming/Content/data/worldareas/1B/mapfortress.vworld,0,688014
cpanelset03_02.fmt.header,Tiny.V7,10671292,846
cpanelset03_03.fmt,Streaming/Content/data/worldareas/5F/mapfortress.vworld,4141,708628
cpanelset03_03.fmt.header,Tiny.VA,10624161,1330
cpanelset03_04.fmt,Streaming/Content/data/worldareas/E5/mapfortress.vworld,25827,949320
cpanelset03_04.fmt.header,Tiny.VD,10363952,1157
dome_01.fmt,Streaming/Content/data/worldareas/C3/mapfortress.vworld,269838,691312
dome_01.fmt.header,Tiny.V8,10584120,782
dome_02.fmt,Streaming/Content/data/worldareas/73/mapfortress.vworld,0,638228
dome_02.fmt.header,Tiny.V7,10672138,1233
panel_01.fmt,Streaming/Content/data/worldareas/1D/sanctum_4.vworld,433815,196040
panel_01.fmt.header,Tiny.V5,10430345,668
panel_02.fmt,Streaming/Content/data/worldareas/D3/mapfortress.vworld,573003,299548
panel_02.fmt.header,Tiny.V3,10374566,694
panel_03.fmt,Streaming/Content/data/worldareas/20/mapfortress.vworld,558361,172544
panel_03.fmt.header,Tiny.V6,10501921,661
panel_04.fmt,Streaming/Content/data/worldareas/68/mapfortress.vworld,0,179986
panel_04.fmt.header,Tiny.VE,10512724,1167
panel_05.fmt,Streaming/Content/data/worldareas/AB/mapfortress.vworld,1541102,260016
panel_05.fmt.header,Tiny.V9,10690656,995
panelset_01.fmt,Streaming/Content/data/worldareas/A3/mapfortress.vworld,200459,586116
panelset_01.fmt.header,Tiny.V9,10691651,672
panelset_03.fmt,Streaming/Content/data/worldareas/32/mapfortress.vworld,0,515014
panelset_03.fmt.header,Tiny.VD,10365109,665
panelset_04.fmt,Streaming/Content/data/worldareas/mapfortress.vworld,8376713,535628
panelset_04.fmt.header,Tiny.V5,10431013,1174
panelset_05.fmt,Streaming/Content/data/worldareas/65/mapfortress.vworld,957501,776320
panelset_05.fmt.header,Tiny.V1,10662709,1001
pillars.fmt,Streaming/Content/data/worldareas/93/mapfortress.vworld,430227,537512
pillars.fmt.header,Tiny.V6,10502582,435
roofedge_01.fmt,Streaming/Content/data/worldareas/C0/mapfortress.vworld,258779,144380
roofedge_01.fmt.header,Tiny.V8,10584902,1280
roofedge_02.fmt,Streaming/Content/data/worldareas/71/mapfortress.vworld,0,148344
roofedge_02.fmt.header,Tiny.V3,10375260,1242
roofedge_03.fmt,Streaming/Content/data/worldareas/02/mapfortress.vworld,62490,146280
roofedge_03.fmt.header,Tiny.V2,10563701,1284
roofedge_04.fmt,Streaming/Content/data/worldareas/F4/mapfortress.vworld,165955,146950
roofedge_04.fmt.header,Tiny.VD,10365774,1284
roofedge_05.fmt,Streaming/Content/data/worldareas/16/mapfortress.vworld,0,145644
roofedge_05.fmt.header,Tiny.V5,10432187,1284
roofedge_06.fmt,Streaming/Content/data/worldareas/CA/mapfortress.vworld,5623,144934
roofedge_06.fmt.header,Tiny.V7,10673371,1286
stslotbrickwall_01.fmt,Streaming/Content/data/worldareas/C2/mapfortress.vworld,0,332208
stslotbrickwall_01.fmt.header,Tiny.V3,10376502,684
stslotbrickwall_02.fmt,Streaming/Content/data/worldareas/63/mapfortress.vworld,740869,351956
