hash,file,bundle,offset,size
c4b6b02d70a30e38,frost_surge_cf182c69.smd,Streaming/Content/metadata/monsters/exiles/characters/dexint.act,4308441,10120
e2db3ac52b8dbcaa,frost_surge_cf182c69.smd.header,Tiny.V1,5192595,448
13ae0bf117773eb0,gemlingfrostsurge.sm,Tiny.V3,5115296,374
ca73c163889bd04b,gemlingfrostsurge.amd,Tiny.VA,5204206,80
3340773789fbcadb,gemlingfrostsurge.ast,Tiny.V5,5242878,2226
