file,bundle,offset,size
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/arena_fallen_star_01.tgt,Folders/art/models/terrain/leagues/kalguuransettlers/bossarenas_5,1425713,32650
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/arena_fallen_star_01.tmd,Tiny_5,14207077,524
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/arena_fallen_star_01_areatransition.fmt,Tiny_5,14207601,694
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/arena_fallen_star_01_areatransition.fmt.header,Tiny_5,14208295,208
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/innermeteorites01.fmt,Folders/art/models/terrain/leagues/kalguuransettlers/bossarenas_5,1458363,83682
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/innermeteorites01.fmt.header,Tiny_5,14208503,432
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/innermeteorites02.fmt,Folders/art/models/terrain/leagues/kalguuransettlers/bossarenas_5,1542045,106130
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/innermeteorites02.fmt.header,Tiny_5,14208935,792
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/innermeteorites03.fmt,Folders/art/models/terrain/leagues/kalguuransettlers/bossarenas_5,1648175,52106
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/innermeteorites03.fmt.header,Tiny_5,14209727,852
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/innermeteorites04.fmt,Folders/art/models/terrain/leagues/kalguuransettlers/bossarenas_5,1700281,92620
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/innermeteorites04.fmt.header,Tiny_5,14210579,799
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/innermeteorites05.fmt,Folders/art/models/terrain/leagues/kalguuransettlers/bossarenas_5,1792901,135940
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/innermeteorites05.fmt.header,Tiny_5,14211378,617
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/meteoritemain01.fmt,Folders/art/models/terrain/leagues/kalguuransettlers/bossarenas_5,1928841,334988
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/meteoritemain01.fmt.header,Tiny_5,14211995,943
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/outtermeteorites01.fmt,Folders/art/models/terrain/leagues/kalguuransettlers/bossarenas_5,2263829,204524
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/outtermeteorites01.fmt.header,Tiny_5,14212938,710
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/outtermeteorites02.fmt,Folders/art/models/terrain/leagues/kalguuransettlers/bossarenas_5,2468353,201300
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/outtermeteorites02.fmt.header,Tiny_5,14213648,572
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/outtermeteorites03.fmt,Folders/art/models/terrain/leagues/kalguuransettlers/bossarenas_6,0,204612
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/outtermeteorites03.fmt.header,Tiny_5,14214220,754
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/outtermeteorites04.fmt,Folders/art/models/terrain/leagues/kalguuransettlers/bossarenas_6,204612,279032
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/outtermeteorites04.fmt.header,Tiny_5,14214974,892
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/outtermeteorites05.fmt,Folders/art/models/terrain/leagues/kalguuransettlers/bossarenas_6,483644,302996
art/models/terrain/leagues/kalguuransettlers/bossarenas/fallenstar/outtermeteorites05.fmt.header,Tiny_5,14215866,710
