file,bundle,offset,size
shadercached3d12/0a/0a20abf4b16b282c3ac37d9032e8bd15087c4826e47ca3765b3f8b6a602f1527,Folders/1C/shadercached3d12,1228841,25622
shadercached3d12/0a/0a20c480641056c7fb5a50dc7162b06e293c96e9ca446ed43f22deb07521d385,Folders/FC/shadercached3d12,941501,10864
shadercached3d12/0a/0a20e2a2c9dafe23c3e2d16ae8a1917ef1ecd6b03f7f4e4f01e64a1a991ad949,Folders/1C/shadercached3d12,1254463,11779
shadercached3d12/0a/0a2123ddf57c461b222c2a16b417fa364232defaf6f97e511dea3f16379465ee,Folders/60/shadercached3d12,854375,7610
shadercached3d12/0a/0a212d76c47cfed41192a4c5bffbd0634abedf6201df3a1a24488dcb153c4812,Folders/02/shadercached3d12,700565,11205
shadercached3d12/0a/0a213a3341783d7d33c76bda74625921bdea145f588b1390e25e7945b10338af,Folders/87/shadercached3d12,755451,40913
shadercached3d12/0a/0a216e270b3c1ffadb651669c3ebdb6899213939cfb7e1bb01fe605182598490,Folders/6F/shadercached3d12,753689,11755
shadercached3d12/0a/0a218e11642adbe57594fbcd1d38180c212b12c91f26c9780cdbc5ccf8ded6b2,Folders/6C/shadercached3d12,949125,22942
shadercached3d12/0a/0a21f727f9dacff21f807d85ba2e84bbaa7ccfd0896f43b12f28b018d1ef1358,Folders/98/shadercached3d12,1024442,34553
shadercached3d12/0a/0a2202fcead9d393e13d7ce231a8cbc66af6749ae05c114a0e6fbb8bd42792f4,Folders/61/shadercached3d12,719701,28737
